ModelBase,CovariatePrice,CovariateConflict,betaone,betatwo,betathree,betafour
Diesel,Diesel,Conflict,2.944e-14,1.707e-13,2.069e-13,6.709e-13
Conflict,Diesel,Conflict,6.204e-13,2.772e-14,6.099e-14,4.945e-15
Conflict-Diesel,Diesel,Conflict,3.252e-14,3.333e-15,7.229e-15,2.078e-12
Diesel,Diesel,Shellings,1.246e-14,6.315e-14,1.198e-13,2.797e-13
Shellings,Diesel,Shellings,3.02e-15,9.039e-29,1.041e-28,5.862e-14
Shellings-Diesel,Diesel,Shellings,1.263e-14,6.283e-14,1.195e-13,2.746e-13
Wheat,Wheat,Conflict,2.841e-11,1.393e-10,4.083e-14,2.196e-15
Conflict,Wheat,Conflict,1.929e-09,4.493e-11,1.011e-14,7.533e-13
Conflict-Wheat,Wheat,Conflict,8.508e-17,4.338e-12,2.093e-12,2.727e-12
Wheat,Wheat,Shellings,2.896e-14,5.565e-12,1.204e-14,9.953e-14
Shellings,Wheat,Shellings,2.75e-11,3.44e-11,1.043e-16,1.409e-13
Shellings-Wheat,Wheat,Shellings,3.666e-24,1.824e-26,8.156e-16,3.895e-16
