ModelBase,CovariatePrice,CovariateConflict,betaone,betatwo,betathree,betafour
Diesel,Diesel,Conflict,1.342e-16,1.284e-12,7.767e-13,1.113e-12
Conflict,Diesel,Conflict,1.056e-13,1.258e-16,2.167e-15,2.134e-13
Conflict-Diesel,Diesel,Conflict,4.589e-16,1.398e-11,4.182e-13,1.59e-17
Diesel,Diesel,Shellings,5.167e-10,5.825e-18,1.246e-16,5.497e-13
Shellings,Diesel,Shellings,9.382e-12,2.199e-11,1.159e-13,3.837e-15
Shellings-Diesel,Diesel,Shellings,4.497e-14,1.151e-15,1.781e-19,1.155e-12
Wheat,Wheat,Conflict,6.706e-09,0.001638,1.339e-21,1.925e-10
Conflict,Wheat,Conflict,4.388e-09,3.598e-09,9.776e-18,2.064e-11
Conflict-Wheat,Wheat,Conflict,1.039e-10,1.05e-05,2.858e-20,7.493e-11
Wheat,Wheat,Shellings,3.02e-13,3.196e-13,7.23e-16,1.943e-13
Shellings,Wheat,Shellings,8.221e-16,3.632e-15,4.64e-16,2.33e-13
Shellings-Wheat,Wheat,Shellings,7.189e-14,3.497e-12,2.715e-11,6.694e-11
