beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,beta_19,beta_20,beta_21,beta_22,beta_23,beta_24,beta_25,beta_26,beta_27,beta_28,beta_29,beta_30,beta_31,beta_32,DA,K_1,K_2,n_1,n_2,KP_1,KP_2,KV,dV_1,dV_2,r0,temp_0,DARv,w,sigma_w,AIC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44291491513932e-28,1.42706710849765e-29,1.29001780082152e-30,0.0108195817024747,9.42441225804591e-31,1.90151366941189e-28,1.00405747896081e-27,2.35014008461349e-26,2.02394892710023,0.0537686422030612,3.276616072583e-29,0.0721745179012495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.44738505903431e-20,0.576164875430986,0.99509377278323,1.21774873792316e-25,2.95632320766862e-18,7.25772296478137,0.389282089165555,0.000220701493347069,495.889080379675
0.0165828632334041,4.41293489335596e-21,0.00377295123364864,3.92848723638597e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.81663976690023e-24,7.64677097320061e-25,7.96932882453817e-20,0.0111287296017603,1.00724630097026e-32,1e-32,1.42018116968587e-16,1.00903504484145e-32,1.99423162445442,0.0604889095783034,1.04531307256576e-30,0.0624103668916918,0.999999996177612,NaN,NaN,NaN,NaN,NaN,NaN,3.46467876893166e-16,0.847838922099676,0.99509377278323,2.87930385691975e-23,1e-32,7.43766458474038,0.377044874348536,0.000218950402129694,478.132257036566
0,0,0,0,0.0388097149068229,0.0315055321432154,7.24475225877833e-17,0.00759704568544047,0,0,0,0,0,0,0,0,0,0,0,0,1.12376079075441e-17,0.00120807994129148,0.00104350030305239,0.0123352344437813,1.15478198468946e-32,1e-32,1e-32,9.7337738090392e-26,1.95639033674634,0.0301560930135738,8.43586735382811e-14,0.031368027317649,NaN,1.0811211451336e-23,NaN,56,NaN,NaN,NaN,0.356038092507798,0.99509377278323,0.99509377278323,6.51605085928034e-14,3.03570908151697e-25,8.16462126069323,0.520473030950105,0.00021169486019499,349.723430124912
0,0,0,0,0,0,0,0,0.0370857151394923,0.0213267350303819,5.35154437923788e-18,0.0153729752764405,0,0,0,0,0,0,0,0,1.67684862217155e-16,0.000658537923245822,0.000399498679632982,0.0117887371784964,1e-32,1.01130653236013e-32,1.04306301606308e-32,1.00719321848421e-32,1.98765134064747,0.0247702401451243,8.81096696458393e-30,0.0485336921689177,NaN,NaN,2.64639827118922e-29,NaN,61,NaN,NaN,0.162217858557031,0.99509377278323,0.99509377278323,8.76165378250667e-17,1e-32,7.92809215704399,0.490212432075848,0.000215092143023906,425.511867229434
0,0,0,0,0,0,0,0,0,0,0,0,0.0018881066198137,0.000828413248148774,3.3016291665618e-15,0.000394538541359116,0,0,0,0,9.0080813340641e-17,0.00162173297764126,0.00144708537958029,0.0122235679592842,5.25812477722826e-29,1.4363135895367e-25,1.09411381057719e-16,5.21164385855622e-24,1.90608227038256,1.04826782804216e-22,3.70402366149194e-14,5.42964530757305e-22,NaN,NaN,NaN,NaN,NaN,62.9999409812931,NaN,0.90533728255868,0.500001021984452,0.99509377278323,0.00185291860562472,1.0554496008786e-31,9.0203809193655,0.553784575047473,0.000198059395634207,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00622008294510756,2.70388150178432e-05,1.10477241396401e-16,1.71045855284888e-15,2.35020011579832e-17,0.00135901694911796,0.00111618607883658,0.0119733610039891,1.07504447053658e-32,1.15478198468946e-32,1.03704613437855e-32,4.33984810442844e-18,1.82766434574091,0.0723329354724249,2.01726932767785e-13,0.0527751870316698,NaN,NaN,NaN,NaN,NaN,NaN,45.0000395059954,0.835153167699473,0.99509377278323,0.99509377278323,0.000916673238968226,1e-32,8.51783147099814,0.619749647697631,0.000205662542087622,196.156596199638
0.0217767439897417,2.60188413167287e-17,1.99376448960448e-20,2.39235740465233e-22,0.0382980179052559,0.0314122425156771,2.07519926185166e-21,0.00768392368573147,0,0,0,0,0,0,0,0,0,0,0,0,4.33395481042776e-17,0.00118474112621736,0.00105702368926137,0.0123563087318441,2.42625785094965e-32,1e-32,1.00264517959657e-32,1.00034866247563e-32,1.95721842469257,0.0282994595091162,2.2988324269295e-29,0.0296340907201282,0.910427758636275,6.36914225875249e-31,NaN,56,NaN,NaN,NaN,0.37649801725386,0.99509377278323,0.99509377278323,1.41643521172411e-30,1.00048925999657e-32,8.15863732555005,0.515041401411506,0.000211660340545685,357.961470482798
0.016375517230795,1.72810300179743e-23,7.05932048803462e-18,2.04266763839087e-16,0,0,0,0,0.0367107781794739,0.0207249109956273,2.77119320082535e-30,0.0153640016996564,0,0,0,0,0,0,0,0,8.40192338793498e-17,0.000617935403793161,0.000437368455351117,0.0118139839735031,1e-32,1.00038765433922e-32,1.04306301606308e-32,1e-32,1.97430082445699,0.0398814330445814,5.88172305957018e-18,0.045004652171977,0.920699994938169,NaN,1.42741920325211e-13,NaN,61,NaN,NaN,0.174010170332624,0.99509377278323,0.99509377278323,0.000916628942939433,1e-32,7.92672656240666,0.485509032797987,0.000215048190336281,434.636781502239
0.0369528480140353,8.36401357657714e-32,5.25990358105345e-13,4.74003174231212e-27,0,0,0,0,0,0,0,0,0.00188300549832066,0.000830103118425842,2.37474023119567e-20,0.000397961619344403,0,0,0,0,5.19247586134878e-16,0.00157497110874771,0.00146650301035584,0.0122481261215513,7.40062481938046e-28,1.41070683170171e-17,1.86636290380839e-17,5.06363651731926e-23,1.90141686302245,4.38092690637433e-16,1.14784881395584e-16,6.27005658443901e-22,0.896904517213223,NaN,NaN,NaN,NaN,63.0000079910232,NaN,1.14629914754517,0.500001946700942,0.99509377278323,0.00206009091440403,1.73179103906024e-30,9.01459741172782,0.548305519305154,0.000197970866995246,6.76766307029175
0.0268155475962104,3.33856295662491e-13,1.05144863717331e-30,5.68979259261109e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.00613743069373812,9.30852431941633e-05,5.94225113023202e-24,1e-30,3.13052057209506e-17,0.0013101865436102,0.00113688220515214,0.0120445934264793,1.35833511527002e-28,2.70633651193e-22,1.42018116968587e-16,0.202395564132517,1.82814634620526,0.0745755662343167,1.14112263280423e-30,0.0451641272228464,0.891115122894787,NaN,NaN,NaN,NaN,NaN,44.9999891126356,0.886295645832739,0.99509377278323,0.99509377278323,0.000916673238968226,32.9625198013353,8.50860809338792,0.609798267009438,0.000205443614479234,198.09355940127
