This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,,,
Date,Average_CHIRPS_Rainfall(mm/day),,,
"January 1, 2016",0,,,
"January 2, 2016",0,,,
"January 3, 2016",0,,,
"January 4, 2016",0,,,
"January 5, 2016",0,,,
"January 6, 2016",0.031330894,,,
"January 7, 2016",0,0.031330894,,
"January 8, 2016",0,0.031330894,,
"January 9, 2016",0,0.031330894,,
"January 10, 2016",0,0.031330894,,
"January 11, 2016",0,0.031330894,,
"January 12, 2016",0,0.031330894,,
"January 13, 2016",0,0,,
"January 14, 2016",0,0,,
"January 15, 2016",0,0,,
"January 16, 2016",0,0,,
"January 17, 2016",0,0,,
"January 18, 2016",0,0,,
"January 19, 2016",0,0,,
"January 20, 2016",0,0,,
"January 21, 2016",0,0,,
"January 22, 2016",0,0,,
"January 23, 2016",0,0,,
"January 24, 2016",0,0,,
"January 25, 2016",0,0,,
"January 26, 2016",0,0,,
"January 27, 2016",0,0,,
"January 28, 2016",0,0,,
"January 29, 2016",0,0,,
"January 30, 2016",0.031410477,0.031410477,,
"January 31, 2016",0,0.031410477,,
"February 1, 2016",0.07906278,0.110473257,,
"February 2, 2016",0.841357328,0.951830585,,
"February 3, 2016",0,0.951830585,,
"February 4, 2016",0,0.951830585,,
"February 5, 2016",0,0.951830585,,
"February 6, 2016",0,0.920420108,,
"February 7, 2016",0,0.920420108,,
"February 8, 2016",0,0.841357328,,
"February 9, 2016",0.004942269,0.004942269,,
"February 10, 2016",0,0.004942269,,
"February 11, 2016",0.122069249,0.127011518,,
"February 12, 2016",0,0.127011518,,
"February 13, 2016",1.74072058,1.867732098,,
"February 14, 2016",0,1.867732098,,
"February 15, 2016",0,1.867732098,,
"February 16, 2016",0,1.862789829,,
"February 17, 2016",0,1.862789829,,
"February 18, 2016",0,1.74072058,,
"February 19, 2016",0.684862513,2.425583093,,
"February 20, 2016",0,0.684862513,,
"February 21, 2016",0,0.684862513,,
"February 22, 2016",0.087264561,0.772127074,,
"February 23, 2016",0.714556947,1.486684021,,
"February 24, 2016",0.016623443,1.503307464,,
"February 25, 2016",2.457046197,3.960353662,,
"February 26, 2016",0.117763052,3.393254201,,
"February 27, 2016",0,3.393254201,,
"February 28, 2016",0,3.393254201,,
"February 29, 2016",0,3.30598964,,
"March 1, 2016",1.898020219,4.489452912,,
"March 2, 2016",0,4.472829468,,
"March 3, 2016",0.046992665,2.062775936,,
