This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0
"January 8, 2016",0,0
"January 9, 2016",0,0
"January 10, 2016",0,0
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0,0
"January 21, 2016",0,0
"January 22, 2016",0,0
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0,0
"January 27, 2016",0,0
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0,0
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0,0
"February 3, 2016",0,0
"February 4, 2016",0,0
"February 5, 2016",0,0
"February 6, 2016",0,0
"February 7, 2016",0,0
"February 8, 2016",0,0
"February 9, 2016",0,0
"February 10, 2016",0,0
"February 11, 2016",0.159414755,0.159414755
"February 12, 2016",0,0.159414755
"February 13, 2016",0,0.159414755
"February 14, 2016",0,0.159414755
"February 15, 2016",0,0.159414755
"February 16, 2016",0.129457235,0.28887199
"February 17, 2016",0,0.28887199
"February 18, 2016",0,0.129457235
"February 19, 2016",0,0.129457235
"February 20, 2016",0,0.129457235
"February 21, 2016",0,0.129457235
"February 22, 2016",0,0.129457235
"February 23, 2016",0,0
"February 24, 2016",0,0
"February 25, 2016",0,0
"February 26, 2016",0,0
"February 27, 2016",0,0
"February 28, 2016",0,0
"February 29, 2016",0,0
"March 1, 2016",0.053620511,0.053620511
"March 2, 2016",0,0.053620511
"March 3, 2016",0,0.053620511
"March 4, 2016",0,0.053620511
"March 5, 2016",0,0.053620511
"March 6, 2016",0,0.053620511
"March 7, 2016",0.320458094,0.374078605
"March 8, 2016",0,0.320458094
"March 9, 2016",0.415698528,0.736156623
"March 10, 2016",0,0.736156623
"March 11, 2016",0.666913456,1.403070079
"March 12, 2016",0,1.403070079
"March 13, 2016",0,1.403070079
"March 14, 2016",0,1.082611985
"March 15, 2016",0,1.082611985
"March 16, 2016",0,0.666913456
"March 17, 2016",0,0.666913456
"March 18, 2016",0,0
"March 19, 2016",0.536553913,0.536553913
