This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0.066465917,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0.066465917
"January 8, 2016",0,0.066465917
"January 9, 2016",0,0.066465917
"January 10, 2016",0,0.066465917
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0.006655668,0.006655668
"January 17, 2016",0,0.006655668
"January 18, 2016",0,0.006655668
"January 19, 2016",0,0.006655668
"January 20, 2016",0,0.006655668
"January 21, 2016",0,0.006655668
"January 22, 2016",0,0.006655668
"January 23, 2016",0.05672658,0.05672658
"January 24, 2016",0,0.05672658
"January 25, 2016",0,0.05672658
"January 26, 2016",0,0.05672658
"January 27, 2016",0,0.05672658
"January 28, 2016",0,0.05672658
"January 29, 2016",0,0.05672658
"January 30, 2016",0,0
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0.138356613,0.138356613
"February 3, 2016",0,0.138356613
"February 4, 2016",0,0.138356613
"February 5, 2016",0,0.138356613
"February 6, 2016",0,0.138356613
"February 7, 2016",0.107949683,0.246306295
"February 8, 2016",0,0.246306295
"February 9, 2016",0,0.107949683
"February 10, 2016",0,0.107949683
"February 11, 2016",0,0.107949683
"February 12, 2016",0,0.107949683
"February 13, 2016",0.014337367,0.12228705
"February 14, 2016",0,0.014337367
"February 15, 2016",0,0.014337367
"February 16, 2016",0,0.014337367
"February 17, 2016",0,0.014337367
"February 18, 2016",0,0.014337367
"February 19, 2016",0,0.014337367
"February 20, 2016",0,0
"February 21, 2016",0,0
"February 22, 2016",0,0
"February 23, 2016",0,0
"February 24, 2016",2.171970173,2.171970173
"February 25, 2016",8.952071885,11.12404206
"February 26, 2016",1.156757592,12.28079965
"February 27, 2016",0,12.28079965
"February 28, 2016",0,12.28079965
"February 29, 2016",0,12.28079965
"March 1, 2016",0.025350194,12.30614984
"March 2, 2016",0,10.13417967
"March 3, 2016",0,1.182107785
"March 4, 2016",0,0.025350194
"March 5, 2016",0.098992623,0.124342816
"March 6, 2016",0,0.124342816
"March 7, 2016",0.972370212,1.096713028
"March 8, 2016",3.737683657,4.809046492
"March 9, 2016",1.8400172,6.649063692
"March 10, 2016",0.773306981,7.422370674
