This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0.379518726,0.379518726
"January 8, 2016",0,0.379518726
"January 9, 2016",0.006770611,0.386289337
"January 10, 2016",0.157445197,0.543734534
"January 11, 2016",0.006035018,0.549769553
"January 12, 2016",0,0.549769553
"January 13, 2016",0,0.549769553
"January 14, 2016",0.004152664,0.174403491
"January 15, 2016",0,0.174403491
"January 16, 2016",0,0.167632879
"January 17, 2016",0,0.010187682
"January 18, 2016",0,0.004152664
"January 19, 2016",0,0.004152664
"January 20, 2016",0.191364124,0.195516788
"January 21, 2016",0.559688433,0.751052557
"January 22, 2016",0,0.751052557
"January 23, 2016",0,0.751052557
"January 24, 2016",0,0.751052557
"January 25, 2016",0.019525012,0.770577569
"January 26, 2016",0,0.770577569
"January 27, 2016",0,0.579213445
"January 28, 2016",0,0.019525012
"January 29, 2016",0,0.019525012
"January 30, 2016",0.43984004,0.459365052
"January 31, 2016",0.300008198,0.75937325
"February 1, 2016",1.776953843,2.516802081
"February 2, 2016",0.3937427,2.910544781
"February 3, 2016",0,2.910544781
"February 4, 2016",0,2.910544781
"February 5, 2016",0,2.910544781
"February 6, 2016",0,2.470704741
"February 7, 2016",0,2.170696543
"February 8, 2016",0,0.3937427
"February 9, 2016",0.690449614,0.690449614
"February 10, 2016",0.804540477,1.494990091
"February 11, 2016",0,1.494990091
"February 12, 2016",3.029225308,4.524215399
"February 13, 2016",0,4.524215399
"February 14, 2016",0,4.524215399
"February 15, 2016",0,4.524215399
"February 16, 2016",3.645743576,7.479509361
"February 17, 2016",0.008048665,6.683017549
"February 18, 2016",0,6.683017549
"February 19, 2016",0,3.653792241
"February 20, 2016",0.013654954,3.667447195
"February 21, 2016",0,3.667447195
"February 22, 2016",0,3.667447195
"February 23, 2016",0,0.021703619
"February 24, 2016",0,0.013654954
"February 25, 2016",0.015703661,0.029358615
"February 26, 2016",0,0.029358615
"February 27, 2016",0.009748005,0.025451667
"February 28, 2016",0,0.025451667
"February 29, 2016",0,0.025451667
"March 1, 2016",0.245573126,0.271024793
"March 2, 2016",0,0.271024793
"March 3, 2016",0.54105069,0.796371822
"March 4, 2016",0.517634971,1.314006793
"March 5, 2016",1.749533021,3.053791809
