This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",2.012478728,
"January 5, 2016",0,
"January 6, 2016",0.307185773,
"January 7, 2016",0.151870717,2.471535217
"January 8, 2016",0.018976312,2.490511529
"January 9, 2016",0.255393889,2.745905417
"January 10, 2016",0.002628823,2.74853424
"January 11, 2016",0,0.736055512
"January 12, 2016",0,0.736055512
"January 13, 2016",0.077141488,0.506011228
"January 14, 2016",0,0.354140511
"January 15, 2016",0.061789693,0.396953892
"January 16, 2016",0.279579146,0.42113915
"January 17, 2016",0.031775041,0.450285368
"January 18, 2016",0,0.450285368
"January 19, 2016",0,0.450285368
"January 20, 2016",0.131459722,0.504603602
"January 21, 2016",0.159695371,0.664298973
"January 22, 2016",0.018106813,0.620616093
"January 23, 2016",0,0.341036947
"January 24, 2016",0.211062905,0.520324811
"January 25, 2016",0.028782091,0.549106902
"January 26, 2016",0.024347877,0.573454779
"January 27, 2016",1.612461422,2.054456479
"January 28, 2016",0.01517839,1.909939498
"January 29, 2016",0.215209763,2.107042448
"January 30, 2016",0.712877637,2.819920085
"January 31, 2016",0,2.60885718
"February 1, 2016",0.104247707,2.684322796
"February 2, 2016",0.017701377,2.677676296
"February 3, 2016",0,1.065214874
"February 4, 2016",0.112162093,1.162198577
"February 5, 2016",0,0.946988814
"February 6, 2016",0.044386251,0.278497429
"February 7, 2016",0.015739222,0.29423665
"February 8, 2016",0.105843781,0.295832724
"February 9, 2016",0.168100978,0.446232325
"February 10, 2016",0.591806397,1.038038721
"February 11, 2016",1.063555895,1.989432523
"February 12, 2016",0.020842107,2.010274631
"February 13, 2016",0.068566998,2.034455377
"February 14, 2016",0.092192221,2.110908377
"February 15, 2016",0.061701415,2.066766011
"February 16, 2016",0.111172509,2.009837542
"February 17, 2016",0.03798941,1.456020555
"February 18, 2016",0,0.39246466
"February 19, 2016",0,0.371622553
"February 20, 2016",0.502832584,0.80588814
"February 21, 2016",0,0.713695918
"February 22, 2016",0,0.651994504
"February 23, 2016",0.217658037,0.758480031
"February 24, 2016",0.701800305,1.422290925
"February 25, 2016",1.017855877,2.440146802
"February 26, 2016",0.657937177,3.098083979
"February 27, 2016",0.046339291,2.641590686
"February 28, 2016",0,2.641590686
"February 29, 2016",0,2.641590686
"March 1, 2016",0,2.423932649
