This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0.93539539,
"January 2, 2016",0,
"January 3, 2016",0.241596898,
"January 4, 2016",0.082424164,
"January 5, 2016",0,
"January 6, 2016",0.005890917,
"January 7, 2016",0.043274743,1.308582112
"January 8, 2016",0.051373188,0.42455991
"January 9, 2016",4.2581764,4.68273631
"January 10, 2016",0.008130889,4.449270301
"January 11, 2016",0.098317177,4.465163315
"January 12, 2016",0.63776202,5.102925335
"January 13, 2016",0.298924221,5.395958639
"January 14, 2016",0.509092085,5.861775981
"January 15, 2016",0,5.810402793
"January 16, 2016",0.322710625,1.874937018
"January 17, 2016",0.414170572,2.280976701
"January 18, 2016",0.139741067,2.32240059
"January 19, 2016",0.146672418,1.831310988
"January 20, 2016",0.671991765,2.204378532
"January 21, 2016",0.062940036,1.758226483
"January 22, 2016",1.025436638,2.783663121
"January 23, 2016",0,2.460952496
"January 24, 2016",1.336077324,3.382859248
"January 25, 2016",0.011747396,3.254865577
"January 26, 2016",0.009099007,3.117292166
"January 27, 2016",0.137365095,2.582665496
"January 28, 2016",2.364225457,4.883950916
"January 29, 2016",0.24764907,4.106163348
"January 30, 2016",0.021726618,4.127889966
"January 31, 2016",0.142628143,2.934440785
"February 1, 2016",0.575034005,3.497727394
"February 2, 2016",0.435273083,3.923901471
"February 3, 2016",0.165445088,3.951981464
"February 4, 2016",0.877566365,2.465322373
"February 5, 2016",0.183420322,2.401093626
"February 6, 2016",0.037483048,2.416850056
"February 7, 2016",0.254342215,2.528564128
"February 8, 2016",0.018852828,1.972382951
"February 9, 2016",0.873701979,2.410811846
"February 10, 2016",0.212076998,2.457443756
"February 11, 2016",0,1.579877391
"February 12, 2016",0.096580486,1.493037554
"February 13, 2016",0.010106183,1.465660689
"February 14, 2016",0.228590264,1.439908738
"February 15, 2016",0,1.421055909
"February 16, 2016",0.142207357,0.689561288
"February 17, 2016",0,0.47748429
"February 18, 2016",0,0.47748429
"February 19, 2016",0,0.380903805
"February 20, 2016",0.061500602,0.432298224
"February 21, 2016",0,0.203707959
"February 22, 2016",0.021142441,0.2248504
"February 23, 2016",0.069073544,0.151716587
"February 24, 2016",0.427339275,0.579055862
"February 25, 2016",0.001159796,0.580215658
"February 26, 2016",0,0.580215658
"February 27, 2016",0,0.518715056
"February 28, 2016",0,0.518715056
"February 29, 2016",0,0.497572615
"March 1, 2016",0,0.428499071
"March 2, 2016",0.021404426,0.022564221
"March 3, 2016",0.014064812,0.035469237
"March 4, 2016",0.762749519,0.798218757
"March 5, 2016",0.300822956,1.099041712
"March 6, 2016",0.073483781,1.172525493
"March 7, 2016",0.053782662,1.226308155
"March 8, 2016",1.238223156,2.464531311
"March 9, 2016",1.302478048,3.745604934
"March 10, 2016",0,3.731540122
"March 11, 2016",0.175100054,3.143890657
"March 12, 2016",0,2.843067701
"March 13, 2016",0.453727683,3.223311603
"March 14, 2016",0.236486832,3.406015774
"March 15, 2016",0,2.167792617
"March 16, 2016",0,0.865314569
"March 17, 2016",0,0.865314569
"March 18, 2016",0.003665084,0.693879599
"March 19, 2016",0,0.693879599
"March 20, 2016",0.23593292,0.476084836
"March 21, 2016",0.064878841,0.304476845
"March 22, 2016",0,0.304476845
"March 23, 2016",0,0.304476845
"March 24, 2016",1.206697395,1.511174241
"March 25, 2016",0.348444875,1.855954031
"March 26, 2016",0.090064077,1.946018107
"March 27, 2016",0.1057214,1.815806587
"March 28, 2016",0.200947248,1.951874994
"March 29, 2016",0.008478698,1.960353692
"March 30, 2016",0.001811739,1.962165431
"March 31, 2016",0.058464155,0.813932191
"April 1, 2016",0.011485252,0.476972568
"April 2, 2016",0,0.386908492
"April 3, 2016",0.002602804,0.283789895
"April 4, 2016",0.001126098,0.083968745
"April 5, 2016",0.11229996,0.187790007
"April 6, 2016",0.057725476,0.243703745
"April 7, 2016",0,0.185239589
"April 8, 2016",0.055739247,0.229493585
"April 9, 2016",0,0.229493585
"April 10, 2016",0.039183431,0.266074212
"April 11, 2016",0.067183509,0.332131624
"April 12, 2016",0,0.219831664
"April 13, 2016",1.95684993,2.118956118
"April 14, 2016",2.122803155,4.241759272
"April 15, 2016",1.977374761,6.163394787
"April 16, 2016",0.774346829,6.937741616
"April 17, 2016",0.010543349,6.909101534
"April 18, 2016",0,6.841918024
"April 19, 2016",0,6.841918024
"April 20, 2016",0.005762736,4.89083083
"April 21, 2016",0,2.768027675
"April 22, 2016",0,0.790652914
"April 23, 2016",0,0.016306085
"April 24, 2016",0.003393806,0.009156542
"April 25, 2016",0.776598827,0.785755369
"April 26, 2016",0.674421668,1.460177037
"April 27, 2016",0.462529299,1.916943601
"April 28, 2016",0,1.916943601
"April 29, 2016",0,1.916943601
"April 30, 2016",0.086681799,2.0036254
"May 1, 2016",0,2.000231593
"May 2, 2016",0.002030946,1.225663712
"May 3, 2016",0.023237376,0.57447942
"May 4, 2016",0.048252027,0.160202148
"May 5, 2016",0.04366988,0.203872028
"May 6, 2016",0,0.203872028
"May 7, 2016",0.004597565,0.121787794
"May 8, 2016",0,0.121787794
"May 9, 2016",0.007155326,0.126912174
"May 10, 2016",0.006255888,0.109930687
"May 11, 2016",0.387020459,0.448699119
"May 12, 2016",0.00985218,0.414881419
"May 13, 2016",0.009623172,0.424504591
"May 14, 2016",0.043249964,0.46315699
"May 15, 2016",0,0.46315699
"May 16, 2016",0.011454759,0.467456423
"May 17, 2016",0.048633726,0.509834261
"May 18, 2016",0.080853841,0.203667643
"May 19, 2016",0.001909156,0.195724619
"May 20, 2016",0.005011739,0.191113186
"May 21, 2016",0.533946577,0.6818098
"May 22, 2016",0.256214608,0.938024408
"May 23, 2016",0,0.926569648
"May 24, 2016",0.012447675,0.890383596
"May 25, 2016",0,0.809529755
"May 26, 2016",0,0.807620599
"May 27, 2016",0,0.80260886
"May 28, 2016",0.126652637,0.39531492
"May 29, 2016",0,0.139100312
"May 30, 2016",0.652138794,0.791239106
"May 31, 2016",0,0.778791431
"June 1, 2016",0,0.778791431
"June 2, 2016",0,0.778791431
"June 3, 2016",0.002510918,0.781302348
"June 4, 2016",0,0.654649711
"June 5, 2016",0,0.654649711
"June 6, 2016",0,0.002510918
"June 7, 2016",0.085274655,0.087785573
"June 8, 2016",0.142342336,0.230127909
"June 9, 2016",0,0.230127909
"June 10, 2016",0,0.227616991
"June 11, 2016",0,0.227616991
"June 12, 2016",0.126401274,0.354018266
"June 13, 2016",0,0.354018266
"June 14, 2016",0.006235386,0.274978996
"June 15, 2016",0,0.13263666
"June 16, 2016",0.049380616,0.182017276
"June 17, 2016",0.007091289,0.189108565
"June 18, 2016",0.06649475,0.255603315
"June 19, 2016",0.415353509,0.54455555
"June 20, 2016",0.000934594,0.545490144
"June 21, 2016",0.000775603,0.540030361
"June 22, 2016",5.419094066,5.959124427
"June 23, 2016",0.999229339,6.90897315
"June 24, 2016",0.30690575,7.208787611
"June 25, 2016",1.426138426,8.568431288
"June 26, 2016",0.796280669,8.949358447
"June 27, 2016",0.172297978,9.120721831
"June 28, 2016",0.10119623,9.221142459
"June 29, 2016",0,3.802048393
"June 30, 2016",0.055636893,2.858455947
"July 1, 2016",1.717083246,4.268633444
