This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0
"January 8, 2016",0,0
"January 9, 2016",0,0
"January 10, 2016",0,0
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0.592068441,0.592068441
"January 21, 2016",0.800657573,1.392726015
"January 22, 2016",0,1.392726015
"January 23, 2016",0,1.392726015
"January 24, 2016",0,1.392726015
"January 25, 2016",0,1.392726015
"January 26, 2016",0,1.392726015
"January 27, 2016",0,0.800657573
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0.194896296,0.194896296
"January 31, 2016",0,0.194896296
"February 1, 2016",0,0.194896296
"February 2, 2016",3.657834987,3.852731283
"February 3, 2016",0,3.852731283
"February 4, 2016",0,3.852731283
"February 5, 2016",0,3.852731283
"February 6, 2016",0,3.657834987
"February 7, 2016",0,3.657834987
"February 8, 2016",0,3.657834987
"February 9, 2016",0.422724754,0.422724754
"February 10, 2016",0.205011789,0.627736543
"February 11, 2016",0,0.627736543
"February 12, 2016",0.331798774,0.959535318
"February 13, 2016",0,0.959535318
"February 14, 2016",0,0.959535318
"February 15, 2016",0,0.959535318
"February 16, 2016",4.750740774,5.287551338
"February 17, 2016",0,5.082539548
"February 18, 2016",0,5.082539548
"February 19, 2016",0,4.750740774
"February 20, 2016",0,4.750740774
"February 21, 2016",0,4.750740774
"February 22, 2016",0,4.750740774
"February 23, 2016",0,0
"February 24, 2016",0,0
"February 25, 2016",0,0
"February 26, 2016",0,0
"February 27, 2016",0,0
"February 28, 2016",0,0
"February 29, 2016",0,0
"March 1, 2016",0,0
"March 2, 2016",0,0
"March 3, 2016",0.632620801,0.632620801
"March 4, 2016",1.891160824,2.523781626
"March 5, 2016",0,2.523781626
"March 6, 2016",0,2.523781626
"March 7, 2016",0.607890199,3.131671825
"March 8, 2016",0,3.131671825
"March 9, 2016",0,3.131671825
"March 10, 2016",0,2.499051024
"March 11, 2016",0.087657256,0.695547455
"March 12, 2016",0,0.695547455
"March 13, 2016",0,0.695547455
