This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0
"January 8, 2016",0,0
"January 9, 2016",0,0
"January 10, 2016",0,0
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0,0
"January 21, 2016",0,0
"January 22, 2016",0,0
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0,0
"January 27, 2016",0,0
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0,0
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0,0
"February 3, 2016",0,0
"February 4, 2016",0,0
"February 5, 2016",0,0
"February 6, 2016",0,0
"February 7, 2016",0,0
"February 8, 2016",0,0
"February 9, 2016",0,0
"February 10, 2016",0.199880453,0.199880453
"February 11, 2016",0.397207774,0.597088227
"February 12, 2016",0,0.597088227
"February 13, 2016",0,0.597088227
"February 14, 2016",0,0.597088227
"February 15, 2016",0,0.597088227
"February 16, 2016",0.277109843,0.87419807
"February 17, 2016",0,0.674317617
"February 18, 2016",0,0.277109843
"February 19, 2016",0,0.277109843
"February 20, 2016",0,0.277109843
"February 21, 2016",0,0.277109843
"February 22, 2016",0,0.277109843
"February 23, 2016",0,0
"February 24, 2016",0.395986704,0.395986704
"February 25, 2016",0.347279769,0.743266472
"February 26, 2016",0.698824076,1.442090548
"February 27, 2016",3.043366652,4.4854572
"February 28, 2016",0,4.4854572
"February 29, 2016",0,4.4854572
"March 1, 2016",0,4.4854572
"March 2, 2016",0,4.089470497
"March 3, 2016",0,3.742190728
"March 4, 2016",0,3.043366652
"March 5, 2016",0.828737112,0.828737112
"March 6, 2016",0,0.828737112
"March 7, 2016",0,0.828737112
"March 8, 2016",0,0.828737112
"March 9, 2016",0,0.828737112
"March 10, 2016",0,0.828737112
"March 11, 2016",0,0.828737112
"March 12, 2016",0.34198739,0.34198739
"March 13, 2016",0,0.34198739
"March 14, 2016",0,0.34198739
"March 15, 2016",0,0.34198739
"March 16, 2016",0,0.34198739
