This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0.185827229,
"January 7, 2016",0,0.185827229
"January 8, 2016",0,0.185827229
"January 9, 2016",0,0.185827229
"January 10, 2016",0,0.185827229
"January 11, 2016",0,0.185827229
"January 12, 2016",0,0.185827229
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0.190498507,0.190498507
"January 17, 2016",0,0.190498507
"January 18, 2016",0,0.190498507
"January 19, 2016",0,0.190498507
"January 20, 2016",1.715732059,1.906230566
"January 21, 2016",0.300113472,2.206344037
"January 22, 2016",0,2.206344037
"January 23, 2016",0,2.015845531
"January 24, 2016",0.085608457,2.101453987
"January 25, 2016",1.231256227,3.332710215
"January 26, 2016",0,3.332710215
"January 27, 2016",0,1.616978156
"January 28, 2016",0,1.316864684
"January 29, 2016",0,1.316864684
"January 30, 2016",0,1.316864684
"January 31, 2016",0,1.231256227
"February 1, 2016",0,0
"February 2, 2016",1.182716782,1.182716782
"February 3, 2016",0,1.182716782
"February 4, 2016",0,1.182716782
"February 5, 2016",0,1.182716782
"February 6, 2016",0,1.182716782
"February 7, 2016",0,1.182716782
"February 8, 2016",0,1.182716782
"February 9, 2016",0.231686927,0.231686927
"February 10, 2016",0.20477081,0.436457737
"February 11, 2016",2.040477856,2.476935593
"February 12, 2016",0,2.476935593
"February 13, 2016",0,2.476935593
"February 14, 2016",0,2.476935593
"February 15, 2016",0,2.476935593
"February 16, 2016",0.108053903,2.353302569
"February 17, 2016",0,2.148531759
"February 18, 2016",0,0.108053903
"February 19, 2016",0,0.108053903
"February 20, 2016",1.415631887,1.52368579
"February 21, 2016",0,1.52368579
"February 22, 2016",0,1.52368579
"February 23, 2016",0.073307514,1.488939401
"February 24, 2016",0.016274127,1.505213528
"February 25, 2016",0,1.505213528
"February 26, 2016",0.082804126,1.588017654
"February 27, 2016",0.008074931,0.180460698
"February 28, 2016",0,0.180460698
"February 29, 2016",0,0.180460698
"March 1, 2016",0,0.107153184
"March 2, 2016",0,0.090879057
"March 3, 2016",0,0.090879057
"March 4, 2016",0.681693979,0.68976891
"March 5, 2016",0.8198635,1.501557479
"March 6, 2016",0,1.501557479
"March 7, 2016",1.221481633,2.723039112
