This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0
"January 8, 2016",0,0
"January 9, 2016",0,0
"January 10, 2016",0,0
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0,0
"January 21, 2016",0,0
"January 22, 2016",0,0
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0,0
"January 27, 2016",0,0
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0,0
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0.179232385,0.179232385
"February 3, 2016",0,0.179232385
"February 4, 2016",0,0.179232385
"February 5, 2016",0,0.179232385
"February 6, 2016",0,0.179232385
"February 7, 2016",0,0.179232385
"February 8, 2016",0,0.179232385
"February 9, 2016",0.108993457,0.108993457
"February 10, 2016",0,0.108993457
"February 11, 2016",2.909774877,3.018768335
"February 12, 2016",0,3.018768335
"February 13, 2016",0,3.018768335
"February 14, 2016",0,3.018768335
"February 15, 2016",0,3.018768335
"February 16, 2016",1.15512843,4.064903308
"February 17, 2016",0,4.064903308
"February 18, 2016",0,1.15512843
"February 19, 2016",0.166133711,1.321262141
"February 20, 2016",0.284469119,1.605731259
"February 21, 2016",0,1.605731259
"February 22, 2016",0,1.605731259
"February 23, 2016",0,0.450602829
"February 24, 2016",0.084293687,0.534896516
"February 25, 2016",1.797208944,2.33210546
"February 26, 2016",0.432557319,2.598529069
"February 27, 2016",0,2.31405995
"February 28, 2016",0,2.31405995
"February 29, 2016",0,2.31405995
"March 1, 2016",0,2.31405995
"March 2, 2016",0,2.229766263
"March 3, 2016",0,0.432557319
"March 4, 2016",0,0
"March 5, 2016",0,0
"March 6, 2016",0,0
"March 7, 2016",0,0
"March 8, 2016",0.807087649,0.807087649
"March 9, 2016",0.151181045,0.958268694
"March 10, 2016",7.455439671,8.413708365
"March 11, 2016",0.066191242,8.479899607
"March 12, 2016",0,8.479899607
"March 13, 2016",0,8.479899607
"March 14, 2016",0,8.479899607
