This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0
"January 8, 2016",0,0
"January 9, 2016",0,0
"January 10, 2016",0,0
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0,0
"January 21, 2016",0,0
"January 22, 2016",0,0
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0,0
"January 27, 2016",0,0
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0,0
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0,0
"February 3, 2016",0,0
"February 4, 2016",0,0
"February 5, 2016",0,0
"February 6, 2016",0.03751832,0.03751832
"February 7, 2016",0.109270256,0.146788576
"February 8, 2016",0,0.146788576
"February 9, 2016",1.325889046,1.472677622
"February 10, 2016",0.046887527,1.519565149
"February 11, 2016",1.459427175,2.978992324
"February 12, 2016",0,2.978992324
"February 13, 2016",0,2.941474004
"February 14, 2016",0,2.832203748
"February 15, 2016",0,2.832203748
"February 16, 2016",0.51766638,2.023981082
"February 17, 2016",0,1.977093555
"February 18, 2016",0,0.51766638
"February 19, 2016",0,0.51766638
"February 20, 2016",0,0.51766638
"February 21, 2016",0,0.51766638
"February 22, 2016",0,0.51766638
"February 23, 2016",0,0
"February 24, 2016",0.146977948,0.146977948
"February 25, 2016",2.373915543,2.520893491
"February 26, 2016",1.57555985,4.096453341
"February 27, 2016",0,4.096453341
"February 28, 2016",0,4.096453341
"February 29, 2016",0,4.096453341
"March 1, 2016",0,4.096453341
"March 2, 2016",0,3.949475393
"March 3, 2016",0,1.57555985
"March 4, 2016",0,0
"March 5, 2016",0.418765899,0.418765899
"March 6, 2016",0,0.418765899
"March 7, 2016",0,0.418765899
"March 8, 2016",0,0.418765899
"March 9, 2016",0.071119419,0.489885318
"March 10, 2016",0.770280358,1.260165676
"March 11, 2016",0.218458286,1.478623962
"March 12, 2016",0.299269399,1.359127463
"March 13, 2016",0,1.359127463
"March 14, 2016",0.0189353,1.378062764
