This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0.039223224,
"January 2, 2016",0,
"January 3, 2016",0.00303079,
"January 4, 2016",1.125534631,
"January 5, 2016",0.002176667,
"January 6, 2016",0.784309258,
"January 7, 2016",0.271443265,2.225717835
"January 8, 2016",0.015324361,2.201818972
"January 9, 2016",1.909936241,4.111755213
"January 10, 2016",0.173303788,4.282028211
"January 11, 2016",0.028933596,3.185427176
"January 12, 2016",0.402086131,3.585336639
"January 13, 2016",0.093283394,2.894310775
"January 14, 2016",0.764191723,3.387059233
"January 15, 2016",0,3.371734872
"January 16, 2016",0.470902829,1.93270146
"January 17, 2016",0.695993833,2.455391505
"January 18, 2016",0.037033978,2.463491887
"January 19, 2016",0.133321445,2.194727201
"January 20, 2016",0.736120986,2.837564793
"January 21, 2016",0.4389618,2.512334871
"January 22, 2016",0.984788148,3.497123019
"January 23, 2016",0.46171388,3.48793407
"January 24, 2016",0.646528377,3.438468614
"January 25, 2016",0.014124632,3.415559268
"January 26, 2016",0.029682834,3.311920657
"January 27, 2016",0.133368001,2.709167672
"January 28, 2016",0.930833113,3.201038985
"January 29, 2016",0.184505027,2.400755864
"January 30, 2016",0.296284475,2.23532646
"January 31, 2016",0.032352804,1.621150887
"February 1, 2016",0.143736739,1.750762994
"February 2, 2016",0.262064656,1.983144816
"February 3, 2016",0.193156236,2.04293305
"February 4, 2016",0.430295178,1.542395115
"February 5, 2016",0.067983718,1.425873805
"February 6, 2016",0.001000086,1.130589417
"February 7, 2016",0.229567495,1.327804107
"February 8, 2016",0.032113963,1.216181331
"February 9, 2016",0.262556894,1.216673569
"February 10, 2016",0.092782036,1.116299369
"February 11, 2016",0,0.686004191
"February 12, 2016",0.041634439,0.659654912
"February 13, 2016",0.001877567,0.660532393
"February 14, 2016",0.16657204,0.597536937
"February 15, 2016",0.000403774,0.565826749
"February 16, 2016",0.03601774,0.339287595
"February 17, 2016",0,0.246505559
"February 18, 2016",0.002340656,0.248846216
"February 19, 2016",0,0.207211777
"February 20, 2016",0.026252737,0.231586947
"February 21, 2016",0,0.065014907
"February 22, 2016",0.00115707,0.065768203
"February 23, 2016",0.105403334,0.135153797
"February 24, 2016",2.740720308,2.875874106
"February 25, 2016",0.100946431,2.97447988
"February 26, 2016",0.0394028,3.01388268
"February 27, 2016",0.001108157,2.9887381
"February 28, 2016",0.018177691,3.006915791
"February 29, 2016",0,3.005758721
"March 1, 2016",0,2.900355387
"March 2, 2016",0.012229933,0.171865011
"March 3, 2016",0.039330609,0.11024919
"March 4, 2016",1.136657356,1.207503746
"March 5, 2016",0.336871104,1.543266693
"March 6, 2016",0.018585639,1.543674641
"March 7, 2016",0.131568752,1.675243393
"March 8, 2016",1.443765914,3.119009307
"March 9, 2016",1.824926953,4.931706327
"March 10, 2016",0.092843527,4.985219246
"March 11, 2016",0.326386362,4.174948252
"March 12, 2016",0,3.838077148
"March 13, 2016",0.380674367,4.200165876
"March 14, 2016",0.328728156,4.39732528
"March 15, 2016",0,2.953559366
"March 16, 2016",0.110323855,1.238956267
"March 17, 2016",0.054454534,1.200567274
"March 18, 2016",0.00880132,0.882982231
"March 19, 2016",0,0.882982231
"March 20, 2016",0.194517336,0.6968252
"March 21, 2016",0.245100578,0.613197623
"March 22, 2016",0.100896081,0.714093704
"March 23, 2016",0.079042614,0.682812463
"March 24, 2016",1.0997866,1.728144529
"March 25, 2016",0.153134,1.87247721
"March 26, 2016",0.221034617,2.093511827
"March 27, 2016",0.354303962,2.253298453
"March 28, 2016",0.149562427,2.157760302
"March 29, 2016",0.099610495,2.156474716
"March 30, 2016",0.063120357,2.140552459
"March 31, 2016",0.435613052,1.476378911
"April 1, 2016",0,1.32324491
"April 2, 2016",0,1.102210293
"April 3, 2016",0,0.747906331
"April 4, 2016",0.00369784,0.602041744
"April 5, 2016",0.811102376,1.313533626
"April 6, 2016",0.001217231,1.251630499
"April 7, 2016",0.019522933,0.835540381
"April 8, 2016",0.329782374,1.165322754
"April 9, 2016",0.086327609,1.251650363
"April 10, 2016",0.026272482,1.277922845
"April 11, 2016",0,1.274225005
"April 12, 2016",0.070242019,0.533364647
"April 13, 2016",2.402028954,2.934176371
"April 14, 2016",2.804840898,5.719494335
"April 15, 2016",1.347718687,6.737430649
"April 16, 2016",0.705004383,7.356107423
"April 17, 2016",0.133236681,7.463071622
"April 18, 2016",0.016549101,7.479620723
"April 19, 2016",0.223802646,7.63318135
"April 20, 2016",0.120807662,5.351960057
"April 21, 2016",0,2.54711916
"April 22, 2016",0,1.199400472
"April 23, 2016",0,0.494396089
"April 24, 2016",0.182803,0.543962408
"April 25, 2016",0.501354883,1.02876819
"April 26, 2016",0.55764545,1.362610994
"April 27, 2016",0.935184425,2.176987757
"April 28, 2016",0,2.176987757
"April 29, 2016",0.334661186,2.511648943
"April 30, 2016",0.492219936,3.003868879
"May 1, 2016",0.039229632,2.860295511
"May 2, 2016",0.117070865,2.476011493
"May 3, 2016",0.165880837,2.084246881
"May 4, 2016",0.010643045,1.1597055
"May 5, 2016",0,1.1597055
"May 6, 2016",0.013829869,0.838874184
"May 7, 2016",0.012584767,0.359239015
"May 8, 2016",0.018638027,0.338647409
"May 9, 2016",0.04033892,0.261915465
"May 10, 2016",0.004357092,0.10039172
"May 11, 2016",0.048732333,0.138481008
"May 12, 2016",0.184064661,0.322545669
"May 13, 2016",0.0060125,0.3147283
"May 14, 2016",0.007694878,0.30983841
"May 15, 2016",0.033975385,0.325175769
"May 16, 2016",0.013462415,0.298299264
"May 17, 2016",0,0.293942172
"May 18, 2016",0,0.245209839
"May 19, 2016",0,0.061145178
