This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0.013714864,
"January 5, 2016",0,
"January 6, 2016",0.078466769,
"January 7, 2016",0,0.092181633
"January 8, 2016",0,0.092181633
"January 9, 2016",0,0.092181633
"January 10, 2016",0,0.092181633
"January 11, 2016",0.028206013,0.106672781
"January 12, 2016",0,0.106672781
"January 13, 2016",0,0.028206013
"January 14, 2016",0,0.028206013
"January 15, 2016",0,0.028206013
"January 16, 2016",0,0.028206013
"January 17, 2016",0,0.028206013
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",1.417886051,1.417886051
"January 21, 2016",1.690311762,3.108197813
"January 22, 2016",0,3.108197813
"January 23, 2016",0,3.108197813
"January 24, 2016",0.056647183,3.164844996
"January 25, 2016",0,3.164844996
"January 26, 2016",0,3.164844996
"January 27, 2016",0,1.746958945
"January 28, 2016",0,0.056647183
"January 29, 2016",0,0.056647183
"January 30, 2016",0.099593763,0.156240946
"January 31, 2016",0.229612916,0.329206679
"February 1, 2016",0.083249645,0.412456324
"February 2, 2016",1.768156829,2.180613153
"February 3, 2016",0,2.180613153
"February 4, 2016",0,2.180613153
"February 5, 2016",0,2.180613153
"February 6, 2016",0,2.08101939
"February 7, 2016",0,1.851406474
"February 8, 2016",0,1.768156829
"February 9, 2016",0,0
"February 10, 2016",1.373263701,1.373263701
"February 11, 2016",0,1.373263701
"February 12, 2016",2.038602853,3.411866553
"February 13, 2016",0,3.411866553
"February 14, 2016",0,3.411866553
"February 15, 2016",0,3.411866553
"February 16, 2016",0.589996055,4.001862608
"February 17, 2016",0.153036706,2.781635614
"February 18, 2016",0,2.781635614
"February 19, 2016",0,0.743032762
"February 20, 2016",1.510200595,2.253233356
"February 21, 2016",0,2.253233356
"February 22, 2016",0,2.253233356
"February 23, 2016",0.293132311,1.956369612
"February 24, 2016",0,1.803332906
"February 25, 2016",0,1.803332906
"February 26, 2016",0,1.803332906
"February 27, 2016",0.02960324,0.322735551
"February 28, 2016",0,0.322735551
"February 29, 2016",0,0.322735551
"March 1, 2016",0,0.02960324
"March 2, 2016",0,0.02960324
"March 3, 2016",0,0.02960324
"March 4, 2016",0.730083371,0.759686611
"March 5, 2016",1.731071943,2.461155315
"March 6, 2016",0,2.461155315
