This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0.088224385,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0.008699224,0.096923609
"January 8, 2016",0,0.096923609
"January 9, 2016",0,0.096923609
"January 10, 2016",0,0.008699224
"January 11, 2016",0,0.008699224
"January 12, 2016",0,0.008699224
"January 13, 2016",0,0.008699224
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0,0
"January 21, 2016",0.143199593,0.143199593
"January 22, 2016",0,0.143199593
"January 23, 2016",0,0.143199593
"January 24, 2016",0,0.143199593
"January 25, 2016",0,0.143199593
"January 26, 2016",0,0.143199593
"January 27, 2016",0,0.143199593
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0.174824227,0.174824227
"January 31, 2016",0,0.174824227
"February 1, 2016",0.020667646,0.195491873
"February 2, 2016",0,0.195491873
"February 3, 2016",0,0.195491873
"February 4, 2016",0,0.195491873
"February 5, 2016",0,0.195491873
"February 6, 2016",0,0.020667646
"February 7, 2016",0,0.020667646
"February 8, 2016",0,0
"February 9, 2016",0.243842802,0.243842802
"February 10, 2016",0,0.243842802
"February 11, 2016",3.375539374,3.619382176
"February 12, 2016",0.022698929,3.642081105
"February 13, 2016",0,3.642081105
"February 14, 2016",0,3.642081105
"February 15, 2016",0,3.642081105
"February 16, 2016",2.851967928,6.250206231
"February 17, 2016",0,6.250206231
"February 18, 2016",0,2.874666857
"February 19, 2016",0,2.851967928
"February 20, 2016",0,2.851967928
"February 21, 2016",0,2.851967928
"February 22, 2016",0,2.851967928
"February 23, 2016",0,0
"February 24, 2016",0.127730943,0.127730943
"February 25, 2016",0.210688578,0.338419522
"February 26, 2016",0.018005214,0.356424735
"February 27, 2016",0,0.356424735
"February 28, 2016",0,0.356424735
"February 29, 2016",0,0.356424735
"March 1, 2016",0,0.356424735
"March 2, 2016",0,0.228693792
"March 3, 2016",0,0.018005214
"March 4, 2016",0,0
"March 5, 2016",0.809366079,0.809366079
"March 6, 2016",0,0.809366079
"March 7, 2016",0,0.809366079
"March 8, 2016",0.26738575,1.07675183
"March 9, 2016",0.026782137,1.103533967
