This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0.127484365,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0.127484365
"January 8, 2016",0,0.127484365
"January 9, 2016",0.220497068,0.347981433
"January 10, 2016",0,0.220497068
"January 11, 2016",0,0.220497068
"January 12, 2016",0,0.220497068
"January 13, 2016",0,0.220497068
"January 14, 2016",0,0.220497068
"January 15, 2016",0.048099439,0.268596507
"January 16, 2016",0,0.048099439
"January 17, 2016",0,0.048099439
"January 18, 2016",0,0.048099439
"January 19, 2016",0,0.048099439
"January 20, 2016",0,0.048099439
"January 21, 2016",0,0.048099439
"January 22, 2016",0,0
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0,0
"January 27, 2016",0,0
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0.028225685,0.028225685
"January 31, 2016",0,0.028225685
"February 1, 2016",0.152793093,0.181018778
"February 2, 2016",0.187952746,0.368971524
"February 3, 2016",0,0.368971524
"February 4, 2016",0,0.368971524
"February 5, 2016",0,0.368971524
"February 6, 2016",0,0.340745839
"February 7, 2016",0,0.340745839
"February 8, 2016",0,0.187952746
"February 9, 2016",0.434963116,0.434963116
"February 10, 2016",0,0.434963116
"February 11, 2016",2.582115332,3.017078447
"February 12, 2016",0,3.017078447
"February 13, 2016",0.097603185,3.114681632
"February 14, 2016",0,3.114681632
"February 15, 2016",0.24689805,3.361579681
"February 16, 2016",1.425640059,4.352256625
"February 17, 2016",0,4.352256625
"February 18, 2016",0,1.770141293
"February 19, 2016",1.038049278,2.808190571
"February 20, 2016",0.099917748,2.810505135
"February 21, 2016",0,2.810505135
"February 22, 2016",0.007089307,2.570696392
"February 23, 2016",0,1.145056334
"February 24, 2016",0.006772751,1.151829084
"February 25, 2016",0.428091849,1.579920933
"February 26, 2016",0.19384525,0.735716905
"February 27, 2016",0,0.635799157
"February 28, 2016",0,0.635799157
"February 29, 2016",0.033877575,0.662587424
"March 1, 2016",0.431236425,1.093823849
"March 2, 2016",0,1.087051099
"March 3, 2016",0,0.65895925
"March 4, 2016",0,0.465114
"March 5, 2016",0.048770208,0.513884208
"March 6, 2016",0,0.513884208
"March 7, 2016",0.0377721,0.517778733
