This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",2.752823306,
"January 5, 2016",0,
"January 6, 2016",0.503176746,
"January 7, 2016",0,3.256000052
"January 8, 2016",0,3.256000052
"January 9, 2016",0.539468412,3.795468465
"January 10, 2016",0.422611249,4.218079713
"January 11, 2016",0.22799453,1.693250937
"January 12, 2016",0,1.693250937
"January 13, 2016",0,1.190074191
"January 14, 2016",0,1.190074191
"January 15, 2016",0.100990152,1.291064343
"January 16, 2016",0.077679876,0.829275807
"January 17, 2016",0.168961815,0.575626373
"January 18, 2016",0.031520706,0.379152549
"January 19, 2016",0,0.379152549
"January 20, 2016",0,0.379152549
"January 21, 2016",0,0.379152549
"January 22, 2016",0.19772932,0.475891717
"January 23, 2016",0.143047775,0.541259616
"January 24, 2016",0.206499249,0.57879705
"January 25, 2016",0,0.547276344
"January 26, 2016",0,0.547276344
"January 27, 2016",1.021677143,1.568953487
"January 28, 2016",0.128599508,1.697552995
"January 29, 2016",0,1.499823675
"January 30, 2016",0.412861839,1.769637739
"January 31, 2016",0.077126602,1.640265091
"February 1, 2016",0.181186162,1.821451253
"February 2, 2016",0.397903012,2.219354265
"February 3, 2016",0.072714229,1.270391351
"February 4, 2016",0,1.141791843
"February 5, 2016",0.006779198,1.148571041
"February 6, 2016",0.105089911,0.840799113
"February 7, 2016",0.181609521,0.945282033
"February 8, 2016",0,0.764095871
"February 9, 2016",0,0.36619286
"February 10, 2016",0.071176409,0.36465504
"February 11, 2016",0.178576789,0.54323183
"February 12, 2016",0,0.536452631
"February 13, 2016",0.14210014,0.57346286
"February 14, 2016",0,0.391853338
"February 15, 2016",0,0.391853338
"February 16, 2016",0.39630634,0.788159678
"February 17, 2016",0.005368744,0.722352013
"February 18, 2016",0,0.543775223
"February 19, 2016",0,0.543775223
"February 20, 2016",0.126603799,0.528278883
"February 21, 2016",0,0.528278883
"February 22, 2016",0,0.528278883
"February 23, 2016",0,0.131972543
"February 24, 2016",0.128619012,0.255222811
"February 25, 2016",5.815639771,6.070862582
"February 26, 2016",0.301764413,6.372626995
"February 27, 2016",0.060634027,6.306657223
"February 28, 2016",0,6.306657223
"February 29, 2016",0,6.306657223
"March 1, 2016",0,6.306657223
"March 2, 2016",0,6.178038211
"March 3, 2016",0,0.362398441
