This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0,0
"January 8, 2016",0,0
"January 9, 2016",0,0
"January 10, 2016",0,0
"January 11, 2016",0,0
"January 12, 2016",0,0
"January 13, 2016",0,0
"January 14, 2016",0,0
"January 15, 2016",0,0
"January 16, 2016",0,0
"January 17, 2016",0,0
"January 18, 2016",0,0
"January 19, 2016",0,0
"January 20, 2016",0,0
"January 21, 2016",0,0
"January 22, 2016",0,0
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0,0
"January 27, 2016",0,0
"January 28, 2016",0,0
"January 29, 2016",0,0
"January 30, 2016",0,0
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0.148998904,0.148998904
"February 3, 2016",0,0.148998904
"February 4, 2016",0,0.148998904
"February 5, 2016",0,0.148998904
"February 6, 2016",0,0.148998904
"February 7, 2016",0,0.148998904
"February 8, 2016",0,0.148998904
"February 9, 2016",3.62265125,3.62265125
"February 10, 2016",0,3.62265125
"February 11, 2016",0.327470481,3.95012173
"February 12, 2016",0.126027222,4.076148952
"February 13, 2016",0,4.076148952
"February 14, 2016",0,4.076148952
"February 15, 2016",0,4.076148952
"February 16, 2016",3.679442256,4.132939959
"February 17, 2016",0,4.132939959
"February 18, 2016",0,3.805469478
"February 19, 2016",0,3.679442256
"February 20, 2016",0,3.679442256
"February 21, 2016",0,3.679442256
"February 22, 2016",0,3.679442256
"February 23, 2016",0,0
"February 24, 2016",0,0
"February 25, 2016",0,0
"February 26, 2016",0.108868679,0.108868679
"February 27, 2016",0,0.108868679
"February 28, 2016",0,0.108868679
"February 29, 2016",0,0.108868679
"March 1, 2016",0,0.108868679
"March 2, 2016",0,0.108868679
"March 3, 2016",0,0.108868679
"March 4, 2016",0,0
"March 5, 2016",2.603438596,2.603438596
"March 6, 2016",0,2.603438596
"March 7, 2016",0,2.603438596
"March 8, 2016",0,2.603438596
"March 9, 2016",0,2.603438596
"March 10, 2016",0,2.603438596
"March 11, 2016",0,2.603438596
"March 12, 2016",0.446084999,0.446084999
"March 13, 2016",0,0.446084999
"March 14, 2016",0.070722207,0.516807206
"March 15, 2016",0,0.516807206
