This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0.294485961,
"January 5, 2016",0,
"January 6, 2016",1.913909714,
"January 7, 2016",0.048244835,2.25664051
"January 8, 2016",0.030692024,2.287332535
"January 9, 2016",0.024256964,2.311589498
"January 10, 2016",0,2.311589498
"January 11, 2016",0,2.017103537
"January 12, 2016",0,2.017103537
"January 13, 2016",0.022346744,0.125540566
"January 14, 2016",0,0.077295732
"January 15, 2016",0,0.046603707
"January 16, 2016",0.010549895,0.032896639
"January 17, 2016",0,0.032896639
"January 18, 2016",0,0.032896639
"January 19, 2016",0,0.032896639
"January 20, 2016",0.615594654,0.626144549
"January 21, 2016",0.046540316,0.672684865
"January 22, 2016",0.023258518,0.695943383
"January 23, 2016",0,0.685393488
"January 24, 2016",0.473875833,1.159269321
"January 25, 2016",1.019780136,2.179049457
"January 26, 2016",0,2.179049457
"January 27, 2016",0.132247027,1.69570183
"January 28, 2016",0,1.649161514
"January 29, 2016",0,1.625902996
"January 30, 2016",0.054910215,1.680813211
"January 31, 2016",0,1.206937378
"February 1, 2016",0,0.187157242
"February 2, 2016",0.027351763,0.214509004
"February 3, 2016",0,0.082261977
"February 4, 2016",0,0.082261977
"February 5, 2016",0,0.082261977
"February 6, 2016",0,0.027351763
"February 7, 2016",0,0.027351763
"February 8, 2016",0,0.027351763
"February 9, 2016",0,0
"February 10, 2016",0.333868039,0.333868039
"February 11, 2016",2.634084351,2.96795239
"February 12, 2016",0,2.96795239
"February 13, 2016",0,2.96795239
"February 14, 2016",0,2.96795239
"February 15, 2016",0,2.96795239
"February 16, 2016",0.134209709,3.1021621
"February 17, 2016",0.012263481,2.780557542
"February 18, 2016",0.960559754,1.107032945
"February 19, 2016",0,1.107032945
"February 20, 2016",0.171338998,1.278371943
"February 21, 2016",0,1.278371943
"February 22, 2016",0,1.278371943
"February 23, 2016",0.244955734,1.389117968
"February 24, 2016",0.043601911,1.420456398
"February 25, 2016",0.889627477,1.349524121
"February 26, 2016",0.232001204,1.581525325
"February 27, 2016",1.403111765,2.813298092
"February 28, 2016",0,2.813298092
"February 29, 2016",0,2.813298092
"March 1, 2016",0,2.568342357
"March 2, 2016",0,2.524740446
"March 3, 2016",0,1.635112968
"March 4, 2016",1.036223772,2.439335537
