This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",0.610490738,
"January 5, 2016",0.005138496,
"January 6, 2016",0.078622182,
"January 7, 2016",0,0.694251417
"January 8, 2016",0,0.694251417
"January 9, 2016",0.086696406,0.780947823
"January 10, 2016",0.094057792,0.875005615
"January 11, 2016",0,0.264514877
"January 12, 2016",0,0.25937638
"January 13, 2016",0,0.180754198
"January 14, 2016",0,0.180754198
"January 15, 2016",0,0.180754198
"January 16, 2016",0.191934201,0.285991993
"January 17, 2016",0.288435497,0.480369697
"January 18, 2016",0.155467266,0.635836964
"January 19, 2016",0,0.635836964
"January 20, 2016",0,0.635836964
"January 21, 2016",0,0.635836964
"January 22, 2016",0.205360915,0.841197878
"January 23, 2016",0.220663293,0.869926971
"January 24, 2016",0.308774329,0.890265803
"January 25, 2016",0,0.734798537
"January 26, 2016",0,0.734798537
"January 27, 2016",0,0.734798537
"January 28, 2016",0,0.734798537
"January 29, 2016",0,0.529437622
"January 30, 2016",0,0.308774329
"January 31, 2016",0,0
"February 1, 2016",0,0
"February 2, 2016",0.218666838,0.218666838
"February 3, 2016",0.024844901,0.243511739
"February 4, 2016",0,0.243511739
"February 5, 2016",0,0.243511739
"February 6, 2016",0,0.243511739
"February 7, 2016",0.125894057,0.369405795
"February 8, 2016",0,0.369405795
"February 9, 2016",0.682024719,0.832763676
"February 10, 2016",0.299810584,1.107729359
"February 11, 2016",0.447734727,1.555464087
"February 12, 2016",0,1.555464087
"February 13, 2016",0,1.555464087
"February 14, 2016",0,1.42957003
"February 15, 2016",0,1.42957003
"February 16, 2016",0.794500979,1.54204629
"February 17, 2016",0,1.242235706
"February 18, 2016",0,0.794500979
"February 19, 2016",0,0.794500979
"February 20, 2016",0,0.794500979
"February 21, 2016",0,0.794500979
"February 22, 2016",0,0.794500979
"February 23, 2016",0,0
"February 24, 2016",0.229730643,0.229730643
"February 25, 2016",3.330195271,3.559925914
"February 26, 2016",0.65548719,4.215413104
"February 27, 2016",0.479514314,4.694927418
"February 28, 2016",0,4.694927418
"February 29, 2016",0,4.694927418
"March 1, 2016",0,4.694927418
"March 2, 2016",0,4.465196776
"March 3, 2016",0,1.135001504
"March 4, 2016",0.285220654,0.764734969
"March 5, 2016",0.186896517,0.472117171
