This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0.305331037,
"January 2, 2016",0,
"January 3, 2016",0,
"January 4, 2016",1.526318036,
"January 5, 2016",0,
"January 6, 2016",2.087400729,
"January 7, 2016",0,3.919049803
"January 8, 2016",0,3.613718766
"January 9, 2016",0.02234285,3.636061616
"January 10, 2016",0.063650912,3.699712528
"January 11, 2016",0,2.173394491
"January 12, 2016",0.003293721,2.176688212
"January 13, 2016",0,0.089287483
"January 14, 2016",0,0.089287483
"January 15, 2016",0,0.089287483
"January 16, 2016",0.095693707,0.162638341
"January 17, 2016",0,0.098987429
"January 18, 2016",0,0.098987429
"January 19, 2016",0,0.095693707
"January 20, 2016",0,0.095693707
"January 21, 2016",0,0.095693707
"January 22, 2016",0,0.095693707
"January 23, 2016",0,0
"January 24, 2016",0,0
"January 25, 2016",0,0
"January 26, 2016",0.061114976,0.061114976
"January 27, 2016",0.04474382,0.105858796
"January 28, 2016",0,0.105858796
"January 29, 2016",0,0.105858796
"January 30, 2016",0.976080766,1.081939563
"January 31, 2016",0.110531103,1.192470665
"February 1, 2016",0.003779425,1.19625009
"February 2, 2016",0.003802294,1.138937408
"February 3, 2016",0.016176236,1.110369824
"February 4, 2016",0.102685865,1.213055689
"February 5, 2016",0,1.213055689
"February 6, 2016",0,0.236974923
"February 7, 2016",0.007855984,0.134299804
"February 8, 2016",0,0.130520379
"February 9, 2016",0,0.126718085
"February 10, 2016",0.118696808,0.229238657
"February 11, 2016",0,0.126552792
"February 12, 2016",0,0.126552792
"February 13, 2016",0.089221486,0.215774278
"February 14, 2016",0,0.207918295
"February 15, 2016",0,0.207918295
"February 16, 2016",0,0.207918295
"February 17, 2016",0,0.089221486
"February 18, 2016",0,0.089221486
"February 19, 2016",0.07778355,0.167005036
"February 20, 2016",0,0.07778355
"February 21, 2016",0,0.07778355
"February 22, 2016",0,0.07778355
"February 23, 2016",0.401361716,0.479145266
"February 24, 2016",0.069818282,0.548963548
"February 25, 2016",5.685512433,6.234475982
"February 26, 2016",0.230250485,6.386942917
"February 27, 2016",0,6.386942917
"February 28, 2016",0,6.386942917
"February 29, 2016",0,6.386942917
"March 1, 2016",0.093230192,6.078811393
"March 2, 2016",0,6.008993111
"March 3, 2016",0.02714066,0.350621338
"March 4, 2016",0,0.120370852
"March 5, 2016",0.469326448,0.5896973
"March 6, 2016",0,0.5896973
"March 7, 2016",0.178008047,0.767705347
"March 8, 2016",2.185761417,2.860236572
"March 9, 2016",0.356034054,3.216270626
"March 10, 2016",0.363333249,3.552463215
"March 11, 2016",1.156485171,4.708948386
"March 12, 2016",0.046941372,4.28656331
"March 13, 2016",0.015431752,4.301995062
"March 14, 2016",2.031561051,6.155548066
"March 15, 2016",0,3.969786649
"March 16, 2016",0.064040145,3.67779274
"March 17, 2016",0.00395549,3.318414981
"March 18, 2016",0.015551621,2.177481431
"March 19, 2016",0.767344299,2.897884358
"March 20, 2016",0,2.882452606
"March 21, 2016",0,0.850891555
"March 22, 2016",0,0.850891555
"March 23, 2016",0.170047802,0.956899212
"March 24, 2016",0.92707837,1.880022092
"March 25, 2016",0.059270255,1.923740726
"March 26, 2016",0.017194929,1.173591356
"March 27, 2016",0.298896246,1.472487602
"March 28, 2016",0,1.472487602
"March 29, 2016",0.156049741,1.628537343
"March 30, 2016",0.030258972,1.488748513
"March 31, 2016",0.123109995,0.684780138
"April 1, 2016",0,0.625509883
"April 2, 2016",0,0.608314954
"April 3, 2016",0.000604502,0.31002321
"April 4, 2016",0.055713034,0.365736244
"April 5, 2016",0.524611653,0.734298157
"April 6, 2016",0.010190494,0.714229679
"April 7, 2016",0.046124662,0.637244346
"April 8, 2016",0.15551908,0.792763426
"April 9, 2016",0.546856748,1.339620174
"April 10, 2016",0.001009104,1.340024776
"April 11, 2016",0,1.284311742
"April 12, 2016",0.571046447,1.330746535
"April 13, 2016",2.038040912,3.358596953
"April 14, 2016",4.820356628,8.132828919
"April 15, 2016",0.163510033,8.140819872
"April 16, 2016",0.910436716,8.50439984
"April 17, 2016",0.588649865,9.092040601
"April 18, 2016",0.250456867,9.342497468
"April 19, 2016",0.318417383,9.089868404
"April 20, 2016",0.132917092,7.184744583
"April 21, 2016",0,2.364387955
"April 22, 2016",0,2.200877922
"April 23, 2016",0,1.290441206
"April 24, 2016",0.072568951,0.774360292
"April 25, 2016",0.351683673,0.875587099
"April 26, 2016",2.630839284,3.188009
"April 27, 2016",0.02214161,3.077233518
"April 28, 2016",0.049497365,3.126730883
"April 29, 2016",0.039582151,3.166313034
"April 30, 2016",0.338487186,3.504800221
"May 1, 2016",0.184297538,3.616528807
"May 2, 2016",0.059480683,3.324325817
"May 3, 2016",1.628864095,2.322350627
"May 4, 2016",0.002936412,2.303145429
"May 5, 2016",0,2.253648064
"May 6, 2016",0.002590165,2.216656078
"May 7, 2016",0.002444715,1.880613607
"May 8, 2016",0.167163633,1.863479702
"May 9, 2016",0.039892372,1.843891391
"May 10, 2016",0.006416112,0.221443408
"May 11, 2016",0.546784994,0.765291991
"May 12, 2016",0.034414349,0.79970634
"May 13, 2016",0.006055619,0.803171794
"May 14, 2016",0,0.800727079
"May 15, 2016",0,0.633563446
"May 16, 2016",0.003405789,0.597076863
"May 17, 2016",0,0.590660751
"May 18, 2016",0,0.043875757
"May 19, 2016",0,0.009461408
"May 20, 2016",0,0.003405789
"May 21, 2016",0.039472183,0.042877973
"May 22, 2016",0.047891733,0.090769706
"May 23, 2016",0.002527902,0.089891819
"May 24, 2016",0.026342147,0.116233965
"May 25, 2016",0,0.116233965
"May 26, 2016",0.108730072,0.224964038
"May 27, 2016",0.00105526,0.226019298
"May 28, 2016",0,0.186547115
"May 29, 2016",0,0.138655382
"May 30, 2016",0,0.136127479
"May 31, 2016",0,0.109785333
"June 1, 2016",0,0.109785333
"June 2, 2016",0,0.00105526
"June 3, 2016",0,0
"June 4, 2016",0,0
"June 5, 2016",0,0
"June 6, 2016",0,0
"June 7, 2016",0,0
"June 8, 2016",0,0
"June 9, 2016",0.010589849,0.010589849
"June 10, 2016",0,0.010589849
"June 11, 2016",0,0.010589849
"June 12, 2016",0,0.010589849
"June 13, 2016",0,0.010589849
"June 14, 2016",0,0.010589849
"June 15, 2016",0,0.010589849
"June 16, 2016",0,0
"June 17, 2016",0,0
"June 18, 2016",0.006990351,0.006990351
"June 19, 2016",0.253075033,0.260065384
"June 20, 2016",0,0.260065384
"June 21, 2016",0,0.260065384
"June 22, 2016",0.210137877,0.470203261
"June 23, 2016",0.286000921,0.756204182
"June 24, 2016",0.687872758,1.44407694
"June 25, 2016",0.640247084,2.077333673
"June 26, 2016",0,1.82425864
"June 27, 2016",0,1.82425864
"June 28, 2016",0.003922778,1.828181418
"June 29, 2016",0.359809085,1.977852627
"June 30, 2016",0,1.691851706
"July 1, 2016",0,1.003978948
"July 2, 2016",0,0.363731863
"July 3, 2016",0,0.363731863
"July 4, 2016",0,0.363731863
"July 5, 2016",0,0.359809085
"July 6, 2016",0,0
"July 7, 2016",0.025380706,0.025380706
"July 8, 2016",0.458785887,0.484166593
"July 9, 2016",0.000717948,0.484884541
"July 10, 2016",0.13391703,0.618801571
"July 11, 2016",0.596491828,1.2152934
"July 12, 2016",0,1.2152934
"July 13, 2016",0.095701454,1.310994854
"July 14, 2016",0.31854479,1.604158939
"July 15, 2016",0,1.145373051
"July 16, 2016",0,1.144655103
"July 17, 2016",0,1.010738073
"July 18, 2016",0,0.414246245
"July 19, 2016",0.053432316,0.467678561
"July 20, 2016",0.005629388,0.377606494
"July 21, 2016",0.021511261,0.080572966
"July 22, 2016",3.52538345,3.605956415
"July 23, 2016",0.918143469,4.524099885
"July 24, 2016",1.083462459,5.607562344
"July 25, 2016",0.091413903,5.698976247
"July 26, 2016",0.158785739,5.80432967
"July 27, 2016",1.643924217,7.442624499
"July 28, 2016",5.244813671,12.66592691
"July 29, 2016",2.176344872,11.31688833
"July 30, 2016",4.791261021,15.19000588
"July 31, 2016",3.936411502,18.04295493
"August 1, 2016",2.97796743,20.92950845
"August 2, 2016",0.05017637,20.82089908
"August 3, 2016",10.17203716,29.34901203
"August 4, 2016",0,24.10419836
"August 5, 2016",0.019529969,21.94738345
"August 6, 2016",0.171276196,17.32739863
"August 7, 2016",0.322440838,13.71342796
"August 8, 2016",0.189913288,10.92537382
"August 9, 2016",0.342991792,11.21818925
"August 10, 2016",0.201191562,1.247343645
"August 11, 2016",0.185453215,1.432796859
"August 12, 2016",0.112424785,1.525691675
"August 13, 2016",0,1.354415479
"August 14, 2016",1.011840462,2.043815103
"August 15, 2016",0.255661538,2.109563352
"August 16, 2016",0.329726982,2.096298543
"August 17, 2016",1.18341347,3.07852045
"August 18, 2016",0.103020583,2.996087819
"August 19, 2016",0.246154516,3.129817551
"August 20, 2016",0,3.129817551
"August 21, 2016",0.930995204,3.048972293
"August 22, 2016",0.005604922,2.798915677
"August 23, 2016",0.355645622,2.824834317
"August 24, 2016",0,1.641420847
"August 25, 2016",0,1.538400264
"August 26, 2016",0,1.292245748
"August 27, 2016",0,1.292245748
"August 28, 2016",0,0.361250544
"August 29, 2016",0.254447741,0.610093363
"August 30, 2016",0,0.254447741
"August 31, 2016",0,0.254447741
"September 1, 2016",0,0.254447741
"September 2, 2016",0,0.254447741
"September 3, 2016",0,0.254447741
"September 4, 2016",0,0.254447741
"September 5, 2016",0.025361629,0.025361629
"September 6, 2016",0.238273537,0.263635166
"September 7, 2016",0.743531753,1.007166919
"September 8, 2016",0.003242823,1.010409742
"September 9, 2016",0.240946661,1.251356403
"September 10, 2016",0.096575264,1.347931667
"September 11, 2016",0,1.347931667
"September 12, 2016",0,1.322570038
"September 13, 2016",0.016896557,1.101193058
"September 14, 2016",0.119814546,0.47747585
"September 15, 2016",0.057518213,0.53175124
