This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),,
Date,Average_CHIRPS_Rainfall(mm/day),
"January 1, 2016",0,
"January 2, 2016",0,
"January 3, 2016",0.295414567,
"January 4, 2016",0,
"January 5, 2016",0,
"January 6, 2016",0,
"January 7, 2016",0.029368016,0.324782583
"January 8, 2016",0.006859356,0.331641939
"January 9, 2016",0.164643745,0.496285683
"January 10, 2016",0,0.200871116
"January 11, 2016",0,0.200871116
"January 12, 2016",0,0.200871116
"January 13, 2016",0,0.200871116
"January 14, 2016",0,0.171503101
"January 15, 2016",0.07191435,0.236558095
"January 16, 2016",0,0.07191435
"January 17, 2016",0,0.07191435
"January 18, 2016",0,0.07191435
"January 19, 2016",0,0.07191435
"January 20, 2016",0,0.07191435
"January 21, 2016",0.163350483,0.235264833
"January 22, 2016",0,0.163350483
"January 23, 2016",0,0.163350483
"January 24, 2016",0,0.163350483
"January 25, 2016",0,0.163350483
"January 26, 2016",0,0.163350483
"January 27, 2016",0,0.163350483
"January 28, 2016",0,0
"January 29, 2016",0.006329864,0.006329864
"January 30, 2016",0.663020372,0.669350237
"January 31, 2016",0,0.669350237
"February 1, 2016",0.374168158,1.043518394
"February 2, 2016",0,1.043518394
"February 3, 2016",0,1.043518394
"February 4, 2016",0,1.043518394
"February 5, 2016",0,1.03718853
"February 6, 2016",0,0.374168158
"February 7, 2016",0,0.374168158
"February 8, 2016",0,0
"February 9, 2016",0.470731894,0.470731894
"February 10, 2016",0,0.470731894
"February 11, 2016",1.542125702,2.012857596
"February 12, 2016",1.601816972,3.614674568
"February 13, 2016",0,3.614674568
"February 14, 2016",0,3.614674568
"February 15, 2016",0.017814883,3.632489452
"February 16, 2016",3.332672437,6.494429994
"February 17, 2016",0,6.494429994
"February 18, 2016",0,4.952304292
"February 19, 2016",0.041615988,3.392103308
"February 20, 2016",0,3.392103308
"February 21, 2016",0,3.392103308
"February 22, 2016",0,3.374288425
"February 23, 2016",0,0.041615988
"February 24, 2016",0,0.041615988
"February 25, 2016",0,0.041615988
"February 26, 2016",0.125125895,0.125125895
"February 27, 2016",0,0.125125895
"February 28, 2016",0,0.125125895
"February 29, 2016",0.03526182,0.160387715
"March 1, 2016",0.379877249,0.540264964
"March 2, 2016",0,0.540264964
"March 3, 2016",0,0.540264964
"March 4, 2016",0,0.415139069
"March 5, 2016",0.612089554,1.027228624
"March 6, 2016",0,1.027228624
