Location,MSE,MeanDataFit,CVE,MeanDataVal,NormMSE,NormCVE
Abyan,3.729,3.504,0.209,1.646,1.064,0.127
Aden,1.228,1.938,0.198,1.201,0.634,0.165
Al Bayda,4.674,6.997,5.635,11.043,0.668,0.510
Al Dhale'e,6.482,5.464,0.184,1.000,1.186,0.183
Al Hudaydah,3.631,6.376,11.165,9.708,0.570,1.150
Al Jawf,2.753,3.346,1.970,4.347,0.823,0.453
Al Maharah,0.582,0.677,0.138,0.409,0.860,0.337
Al Mahwit,12.485,9.978,3.337,7.150,1.251,0.467
Amanat Al Asimah,3.481,4.908,0.608,3.688,0.709,0.165
Amran,11.343,11.102,2.358,5.668,1.022,0.416
Dhamar,3.177,6.418,0.789,4.530,0.495,0.174
Hadramaut,0.007,0.048,0.008,0.193,0.142,0.043
Hajjah,4.119,5.769,9.770,4.509,0.714,2.167
Ibb,1.489,3.434,0.632,4.452,0.433,0.142
Lahj,1.933,2.062,0.361,1.338,0.937,0.270
Marib,0.786,1.635,0.318,0.816,0.481,0.390
Raymah,4.241,3.278,1.575,2.875,1.294,0.548
Sa'ada,5.053,2.864,18.785,6.550,1.764,2.868
Sana'a,9.141,8.803,10.021,12.829,1.038,0.781
Shabwah,0.142,0.258,0.016,0.151,0.551,0.104
Taizz,1.288,2.554,5.403,3.538,0.504,1.527
